Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,,
Sosander,Tops,Gray,https://www.sosandar.com/petite-silver-metallic-wrap-top,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2409_46_a24tj044mc0005_46_087_1.jpg,Petite Silver Dazzling Metallic Wrap Top,£39.00,,,,,,,,,,,petite silver dazzling metallic wrap top
Sosander,Jumpsuits & Playsuits,Green,https://www.sosandar.com/petite-emerald-green-luxe-velvet-diamante-detail-belt-jumpsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_49_a24jv001gn0035_49_40_1.jpg,Petite Emerald Green Luxe Velvet Diamante Detail Belt Jumpsuit,£99.00,,,,,,,,,,,petite emerald green luxe velvet diamante detail belt jumpsuit
Sosander,Trousers,Red,https://www.sosandar.com/rich-pink-tapered-leg-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_63_a24ow078rd0003_a24bw045rd0003_63_66_1_1.jpg,Petite Rich Pink Tapered Leg Trousers,£55.00,,,,,,,,,,,petite rich pink tapered leg trousers
Sosander,Jeans,Gray,https://www.sosandar.com/petite-silver-metallic-slim-wide-leg-jeans,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2409_44_a24tj028bk0001_44_002_2.jpg,Petite Silver Metallic Slim Wide Leg Jeans,£59.00,,,,,,,,,,,petite silver metallic slim wide leg jeans
Sosander,Blazers,White,https://www.sosandar.com/petite-ivory-premium-sparkling-jewel-embellished-blazer,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_51_a24bw032we0001_a24ow066we0001_51_147_1.jpg,Petite Winter White Premium Glittering Jewel Embellished Blazer,£119.00,,,,,,,,,,,petite winter white premium glittering jewel embellished blazer
Sosander,Tops,Red,https://www.sosandar.com/petite-silver-luxe-sequin-gathered-sleeve-top,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2309_241_a23tw088mc0005_241_045_1.jpg,Petite Silver Luxe Sequin Gathered Sleeve Top,£59.00,,,,,,,,,,,petite silver luxe sequin gathered sleeve top
Sosander,Jeans,Gray,https://www.sosandar.com/petite-pewter-metallic-premium-kick-flare-jeans-1,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_163_a22tv002_a22bd020mc0004_008_rt_1_1_1_1.jpg,Petite Pewter Metallic Premium Kick Flare Jeans,£59.00,,,,,,,,,,,petite pewter metallic premium kick flare jeans
Sosander,Jumpsuits & Playsuits,Green,https://www.sosandar.com/petite-emerald-green-velvet-zip-detail-wrap-jumpsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_38_a21jv001gn0035_099_1.jpg,Petite Emerald Green Velvet Zip Detail Wrap Jumpsuit,£99.00,,,,,,,,,,,petite emerald green velvet zip detail wrap jumpsuit
Sosander,Leggings & Jeggings,Gray,https://www.sosandar.com/petite-grey-fairisle-knitted-fit-flare-midaxi-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_173_a24dk220gy0016_173_011_1.jpg,Petite Grey Fairisle Knitted Fit & Flare Midaxi Dress,£85.00,,,,,,,,,,,petite grey fairisle knitted fit & flare midaxi dress
Sosander,Dresses,Cream,https://www.sosandar.com/petite-natural-floral-print-satin-midaxi-shirt-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2407_06_a24dw019ivfl01_06_033_1.jpg,Petite Coffee & Cream Floral Print Midaxi Shirt Dress,£89.00,,,,,,,,,,,petite coffee & cream floral print midaxi shirt dress
