Brand,Category,Colour,Main Image,Product Name,Product Link,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,,,,,,
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/FA23107PBL-14-2.jpg?w=913&h=1222,Petite Square Neck Floral Midi Dress in Blue,https://www.chichiclothing.com/products/petite-square-neck-floral-midi-dress-in-blue,£33.00,£55.00,(40% OFF),https://www.chichiclothing.com/products/petite-square-neck-floral-midi-dress-in-blue,https://www.chichiclothing.com/products/petite-square-neck-ditsy-floral-midi-dress-in-navy,,,,,,petite square neck floral midi dress in bluehttps://www.chichiclothing.com/products/petite-square-neck-ditsy-floral-midi-dress-in-navy
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/20277PTL-17011-2a8c25aa-74ef-4af5-a0f7-fb334d7d45b4-2.jpg?w=913&h=1222,Petite Satin Cami Strap Ruffle Detail Bodycon Dress in Teal,https://www.chichiclothing.com/products/petite-satin-cami-strap-ruffle-detail-bodycon-dress-in-teal,£47.50,£95.00,(50% OFF),https://www.chichiclothing.com/products/petite-satin-cami-strap-ruffle-detail-bodycon-dress-in-teal,https://www.chichiclothing.com/products/g002098pmt,,,,,,petite satin cami strap ruffle detail bodycon dress in tealhttps://www.chichiclothing.com/products/g002098pmt
Chi Chi London,Jumpsuits & Playsuits,Green,https://img-va.myshopline.com/image/store/1709554475197/1903PGN-30-HERO-2.jpg?w=913&h=1222,Petite One Shoulder Jumpsuit in Green,https://www.chichiclothing.com/products/petite-one-shoulder-jumpsuit-in-green,£33.60,£56.00,(40% OFF),,,,,,,,petite one shoulder jumpsuit in green
Chi Chi London,Dresses,Black,https://img-va.myshopline.com/image/store/1709554475197/CT09PBK-45-2.jpg?w=913&h=1222,Petite Long Sleeve Cut-Out Detail Floral Print Midi Dress in Black,https://www.chichiclothing.com/products/petite-long-sleeve-cut-out-detail-floral-midi-dress-in-black,£28.80,£48.00,(40% OFF),,,,,,,,petite long sleeve cut-out detail floral print midi dress in black
Chi Chi London,Dresses,Green,https://img-va.myshopline.com/image/store/1709554475197/CT01PGN-85499-2.jpg?w=913&h=1222,Petite Cami Floral Print Ruched Bodycon Mini Dress in Green,https://www.chichiclothing.com/products/petite-cami-abstract-floral-ruched-bodycon-midi-dress-in-green,£31.00,£62.00,(50% OFF),,,,,,,,petite cami floral print ruched bodycon mini dress in green
Chi Chi London,Jumpsuits & Playsuits,Pink,https://img-va.myshopline.com/image/store/1709554475197/81024PRPI-85416-2.jpg?w=913&h=1222,Petite Corset Style Wide Leg Satin Jumpsuit in Pink,https://www.chichiclothing.com/products/petite-corset-style-jumpsuit-in-pink,£32.00,£64.00,(50% OFF),,,,,,,,petite corset style wide leg satin jumpsuit in pink
Chi Chi London,Jumpsuits & Playsuits,Pink,https://img-va.myshopline.com/image/store/1709554475197/81040PPI-26-2.jpg?w=913&h=1222,Petite Bardot Corset Style Jumpsuit in Pink,https://www.chichiclothing.com/products/petite-bardot-corset-style-jumpsuit-in-pink,£37.00,£74.00,(50% OFF),,,,,,,,petite bardot corset style jumpsuit in pink
Chi Chi London,Jumpsuits & Playsuits,Cream,https://img-va.myshopline.com/image/store/1709554475197/1895PCR-12-2.jpg?w=913&h=1222,Petite Long Bell Sleeve Pleated Jumpsuit in Cream,https://www.chichiclothing.com/products/petite-long-sleeve-pleated-jumpsuit-in-cream,£32.00,£64.00,(50% OFF),,,,,,,,petite long bell sleeve pleated jumpsuit in cream
Chi Chi London,Jumpsuits & Playsuits,Pink,https://img-va.myshopline.com/image/store/1709554475197/AD102PPI-82687-2.jpg?w=913&h=1222,Petite Sleeveless Abstract Camo Print Jumpsuit in Pink,https://www.chichiclothing.com/products/petite-sleeveless-floral-jumpsuit-in-pink,£37.50,£75.00,(50% OFF),,,,,,,,petite sleeveless abstract camo print jumpsuit in pink
Chi Chi London,Dresses,Blue,https://img-va.myshopline.com/image/store/1709554475197/80727FGN-57-2.jpg?w=913&h=1222,Petite Cami Floral Print Wrap Midi Dress in Blue,https://www.chichiclothing.com/products/petite-cami-floral-wrap-dip-hem-midi-dress-in-blue,£50.00,£100.00,(50% OFF),,,,,,,,petite cami floral print wrap midi dress in blue
