Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
66,Dresses,River Island,Red,Petite Red Floral Tie Front Mini Dress,£46.00,,,https://www.riverisland.com/p/petite-red-floral-tie-front-mini-dress-917190,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/917190_main?_a=BATAV5AA0,Petite Red Floral Tie Front Mini Dress,,,,
67,Tops,River Island,Brown,Petite Brown Faux Leather Bandeau Top,£32.00,,,https://www.riverisland.com/p/petite-brown-faux-leather-bandeau-top-912473,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912473_main?_a=BATAV5AA0,Petite Brown Faux Leather Bandeau Top,,,,
68,Tops,River Island,Beige,Petite Beige Mesh Floral Ruched Top,£28.00,,,https://www.riverisland.com/p/petite-beige-mesh-floral-ruched-top-917641,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/917641_main?_a=BATAV5AA0,Petite Beige Mesh Floral Ruched Top,,,,
69,Jeans,River Island,Blue,Petite Blue High Rise Relaxed Straight Jeans,£42.00,,,https://www.riverisland.com/p/petite-blue-high-rise-relaxed-straight-jeans-912151,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912151_main?_a=BATAV5AA0,Petite Blue High Rise Relaxed Straight Jeans,,,,
70,Jeans,River Island,Black,Petite Black Denim Sculpt Molly Jeans,£48.00,,,https://www.riverisland.com/p/petite-black-denim-sculpt-molly-jeans-915420,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915420_main?_a=BATAV5AA0,Petite Black Denim Sculpt Molly Jeans,,,,
71,Trousers,River Island,Red,Petite Red Bootcut Cropped Pull On Trousers,£25.00,,,https://www.riverisland.com/p/petite-red-bootcut-cropped-pull-on-trousers-918485,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/918485_main?_a=BATAV5AA0,Petite Red Bootcut Cropped Pull On Trousers,,,,
72,Trousers,River Island,Khaki,Petite Khaki Faux Leather Straight Trousers,£40.00,,,https://www.riverisland.com/p/petite-khaki-faux-leather-straight-trousers-913889,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/913889_main?_a=BATAV5AA0,Petite Khaki Faux Leather Straight Trousers,,,,
73,Skirts,River Island,Black,Petite Black Faux Leather Pocket Mini Skirt,£25.00,,,https://www.riverisland.com/p/petite-black-faux-leather-pocket-mini-skirt-914273,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914273_main?_a=BATAV5AA0,Petite Black Faux Leather Pocket Mini Skirt,,,,
74,Tops,River Island,Red,Petite Red Mesh Ombre Print Top,£28.00,,,https://www.riverisland.com/p/petite-red-mesh-ombre-print-top-918486,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/918486_main?_a=BATAV5AA0,Petite Red Mesh Ombre Print Top,,,,
75,Jumpsuits,River Island,Black,Petite Black Velvet Bubble Bandeau Jumpsuit,£45.00,,,https://www.riverisland.com/p/petite-black-velvet-bubble-bandeau-jumpsuit-916924,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916924_main?_a=BATAV5AA0,Petite Black Velvet Bubble Bandeau Jumpsuit,,,,
76,Jeans,River Island,Blue,Petite Blue Slim Fit High Waisted Jeans,£45.00,,,https://www.riverisland.com/p/petite-blue-slim-fit-high-waisted-jeans-916880,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/916880_main?_a=BATAV5AA0,Petite Blue Slim Fit High Waisted Jeans,,,,
77,Trousers,River Island,Beige,Petite Beige Leopard Print Sequin Trousers,£42.00,,,https://www.riverisland.com/p/petite-beige-leopard-print-sequin-trousers-914060,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914060_main?_a=BATAV5AA0,Petite Beige Leopard Print Sequin Trousers,,,,
78,Tops,River Island,Red,Petite Red Draped Plunged Neck Bodysuit,£35.00,,,https://www.riverisland.com/p/petite-red-draped-plunged-neck-bodysuit-917748,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/917748_main?_a=BATAV5AA0,Petite Red Draped Plunged Neck Bodysuit,,,,
79,Swimwear,River Island,Pink,Petite Pink Textured Ring Detail Swimsuit,£38.00,,,https://www.riverisland.com/p/petite-pink-textured-ring-detail-swimsuit-915717,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/915717_main?_a=BATAV5AA0,Petite Pink Textured Ring Detail Swimsuit,,,,
80,Trousers,River Island,Black,Petite Black Slim Fit Ponte Trousers,£30.00,,,https://www.riverisland.com/p/petite-black-slim-fit-ponte-trousers-914316,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914316_main?_a=BATAV5AA0,Petite Black Slim Fit Ponte Trousers,,,,
81,Jeans,River Island,Blue,Petite Blue Mid Rise Molly Skinny Jeans,£48.00,,,https://www.riverisland.com/p/petite-blue-mid-rise-molly-skinny-jeans-914399,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/914399_main?_a=BATAV5AA0,Petite Blue Mid Rise Molly Skinny Jeans,,,,
82,Shorts,River Island,Black,Petite Black Faux Leather Military Shorts,£35.00,,,https://www.riverisland.com/p/petite-black-faux-leather-military-shorts-912471,https://images.riverisland.com/image/upload/t_plp_portraitSmall/f_auto/q_auto/912471_main?_a=BATAV5AA0,Petite Black Faux Leather Military Shorts,,,,
