Product Link,Main Image,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
https://www.boohoo.com/petite-faux-leather-utility-trouser/HZZ08873.html?color=105,https://media.boohoo.com/i/boohoo/hzz08873_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Trousers,BOOHOO,Black,PETITE FAUX LEATHER UTILITY TROUSER,£17.00,£34.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz08873_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-belted-halter-linen-look-culotte-jumpsuit/GZZ38607.html?color=105,https://media.boohoo.com/i/boohoo/gzz38607_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Jumpsuits & Playsuits,BOOHOO,Black,PETITE BELTED HALTER LINEN LOOK CULOTTE JUMPSUIT,£10.00,,,https://media.boohoo.com/i/boohoo/gzz38607_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,https://media.boohoo.com/i/boohoo/gzz38607_stone_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,
https://www.boohoo.com/petite-eyelash-lace-column-maxi-skirt-/HZZ10743.html?color=105,https://media.boohoo.com/i/boohoo/hzz10743_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Skirts,BOOHOO,Black,PETITE EYELASH LACE COLUMN MAXI SKIRT,£12.50,£25.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz10743_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-marl-boucle-knit-bardot-jumper-dress/HZZ18272.html?color=105,https://media.boohoo.com/i/boohoo/hzz18272_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Knitwear,BOOHOO,Black,PETITE MARL BOUCLE KNIT BARDOT JUMPER DRESS,£19.00,£38.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz18272_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-abstract-print-mesh-cowl-top-and-maxi-skirt-set/BOO04300.html?color=105,https://media.boohoo.com/i/boohoo/hzz08867_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Skirts,BOOHOO,Black,PETITE ABSTRACT PRINT MESH COWL TOP AND MAXI SKIRT SET,£7.00,£19.00,,,,,
https://www.boohoo.com/petite-contrast-trim-split-hem-knitted-skater-dress/HZZ18438.html?color=105,https://media.boohoo.com/i/boohoo/hzz18438_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Dresses,BOOHOO,Black,PETITE CONTRAST TRIM SPLIT HEM KNITTED SKATER DRESS,£15.00,£30.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz18438_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-denim-high-waisted-turned-up-hem-shorts/GZZ41084.html?color=105,https://media.boohoo.com/i/boohoo/gzz41084_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Shorts,BOOHOO,Black,PETITE DENIM HIGH WAISTED TURNED UP HEM SHORTS,£7.50,£15.00,50% OFF,https://media.boohoo.com/i/boohoo/gzz41084_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-contrast-straight-leg-jogger/HZZ14865.html?color=105,https://media.boohoo.com/i/boohoo/hzz14865_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Nightwear & Loungewear,BOOHOO,Black,PETITE CONTRAST STRAIGHT LEG JOGGER,£12.00,£24.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz14865_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-soft-fine-guage-zip-through-hoody-knitted-tracksuit/HZZ01434.html?color=105,https://media.boohoo.com/i/boohoo/hzz01434_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Nightwear & Loungewear,BOOHOO,Black,PETITE SOFT FINE GUAGE ZIP THROUGH HOODY KNITTED TRACKSUIT,£20.00,£40.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz01434_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
https://www.boohoo.com/petite-pleat-detail-extreme-wide-leg-trousers/HZZ06292.html?color=105,https://media.boohoo.com/i/boohoo/hzz06292_black_xl?w=900&qlt=default&fmt.jp2.qlt=70&fmt=auto&sm=fit,Trousers,BOOHOO,Black,PETITE PLEAT DETAIL EXTREME WIDE LEG TROUSERS,£16.00,£32.00,50% OFF,https://media.boohoo.com/i/boohoo/hzz06292_black_xl_s?w=32&h=32&qlt=default&fmt.jp2.qlt=70&fmt=jpg&sm=fit,,,
