Position,Category,Brand,Colour,Product Name,Current Price,Original Price,Discount,Product Link,Main Image,Main Image Alt,Swatch Image 1,Swatch Alt 1,Swatch Image 2,Swatch Alt 2
180,Tops,Dorothy Perkins,Red,Petite Red Rose Ditsy Keyhole Blouse,£20.30,£29.00,Save 30%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-red-rose-ditsy-keyhole-blouse_bqq19140?colour=floral,https://mediahub.debenhams.com/bqq19140_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Red Rose Ditsy Keyhole Blouse floral,,,,
181,Dresses,Dorothy Perkins,Pink,Petite Pink Spot Scoop Neck Shirt Dress,£20.25,£45.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-pink-spot-scoop-neck-shirt-dress_bqq19052?colour=black,https://mediahub.debenhams.com/bqq19052_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Pink Spot Scoop Neck Shirt Dress black,,,,
182,Dresses,Dorothy Perkins,Blue,Petite Blue Floral Wrap Midi Dress,£15.75,£35.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-blue-floral-wrap-midi-dress_bqq18919?colour=floral,https://mediahub.debenhams.com/bqq18919_floral_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Blue Floral Wrap Midi Dress floral,,,,
183,Dresses,Dorothy Perkins,,Petite Abstract Ruffle Hem Mini Dress,£13.05,£29.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-abstract-ruffle-hem-mini-dress_bqq18897?colour=cobalt,https://mediahub.debenhams.com/bqq18897_cobalt_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Abstract Ruffle Hem Mini Dress cobalt,,,,
184,Tops,Dorothy Perkins,,Tall Khaki Floral V Neck Empire Long Sleeve Top,£17.50,£25.00,Save 30%,https://www.dorothyperkins.com/product/dorothy-perkins-tall-khaki-floral-v-neck-empire-long-sleeve-top_bqq19793?colour=floral,https://mediahub.debenhams.com/bqq19793_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Tall Khaki Floral V Neck Empire Long Sleeve Top floral,,,,
185,Dresses,Dorothy Perkins,,Petite Shirred Cuff Wrap Detail Mini Dress,£10.15,£29.00,Save 65%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-shirred-cuff-wrap-detail-mini-dress_bqq17544?colour=floral,https://mediahub.debenhams.com/bqq17544_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Shirred Cuff Wrap Detail Mini Dress floral,,,,
186,Dresses,Dorothy Perkins,,Petite Tie Front Chiffon Tiered Midi Dress,£19.60,£49.00,Save 60%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-tie-front-chiffon-tiered-midi-dress_bqq18780?colour=pink,https://mediahub.debenhams.com/bqq18780_pink_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Tie Front Chiffon Tiered Midi Dress pink,,,,
187,Dresses,Dorothy Perkins,,Petite Ruched Front Angel Sleeve Mini Dress,£13.00,£29.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ruched-front-angel-sleeve-mini-dress_bqq17554?colour=red,https://mediahub.debenhams.com/bqq17554_red_xl_1?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ruched Front Angel Sleeve Mini Dress red,,,,
188,Dresses,Dorothy Perkins,,Petite Ruched Front Angel Sleeve Mini Dress,£13.00,£29.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-ruched-front-angel-sleeve-mini-dress_bqq17553?colour=floral,https://mediahub.debenhams.com/bqq17553_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Ruched Front Angel Sleeve Mini Dress floral,,,,
189,Dresses,Dorothy Perkins,Black,Petite Black Floral Frill Detail Neck Wrap Midi Dress,£14.00,£39.00,Save 64%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-black-floral-frill-detail-neck-wrap-midi-dress_bqq18252?colour=black,https://mediahub.debenhams.com/bqq18252_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Black Floral Frill Detail Neck Wrap Midi Dress black,,,,
190,Dresses,Dorothy Perkins,,Petite Floral Sweetheart Puff Midi Dress,£17.50,£35.00,Save 50%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-floral-sweetheart-puff-midi-dress_bqq06261?colour=floral,https://mediahub.debenhams.com/bqq06261_floral_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Floral Sweetheart Puff Midi Dress floral,,,,
191,Dresses,Dorothy Perkins,Blue,Petite Blue Floral Shirred Waist V Neck Mini Dress,£13.05,£29.00,Save 55%,https://www.dorothyperkins.com/product/dorothy-perkins-petite-blue-floral-shirred-waist-v-neck-mini-dress_bqq18885?colour=black,https://mediahub.debenhams.com/bqq18885_black_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Product Petite Blue Floral Shirred Waist V Neck Mini Dress black,,,,
