Brand,Product Link,Main Image,Current Price,Category,Product Name,Colour,Swatch Image 1,Swatch Image 2,Discount,Original Price,Swatch Image 3
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-acid-wash-zip-up-vest-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/9c49e75e-deb5-40_223955.jpg,£12.99,Tops,PixieGirl Black Acid Wash Zip Up Vest,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/ea175ae3-9ef6-4c_223956_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-eyelet-vest-top-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/98866bbe-7700-47_223995.jpg,£14.99,Tops,PixieGirl Black Eyelet Vest Top,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/c9e4c939-81d1-49_223996_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-utility-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/8498e89e-63d8-47_223925_A.jpg,£29.99,Skirts,PixieGirl Black Utility Midi Skirt,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-metallic-ribbed-leggings-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e4f9b2f4-148e-49_224050.jpg,£14.99,Leggings & Jeggings,PixieGirl Black Metallic Ribbed Leggings,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-metallic-long-sleeve-top-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/29efaf1f-dd11-40_224049.jpg,£14.99,Tops,PixieGirl Black Metallic Ribbed Long Sleeve Top,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/blk-ribbed-legging-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/5f377daa-84c5-4c_224453_8.jpg,£17.99,Leggings & Jeggings,PixieGirl Black Ribbed Leggings,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/eyelet-mini-skirt-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3c9741e2-0680-4a_224004.jpg,£19.99,Skirts,PixieGirl Black Eyelet Detail Wrap Mini Skirt,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-acid-wash-energy-slogan-oversized-t-shirt-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f6b31971-553f-42_224047.jpg,£19.99,Dresses,PixieGirl Black Acid Wash 'Energy' Slogan Oversized T-Shirt Dress,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/98ac59fc-0948-45_224048_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/blk-dbl-bttn-short-trench-coat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/9dc56d42-0db5-4a_224115_A.jpg,£35,Coats & Jackets,PixieGirl Black High Neck Cropped Trench Coat,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/distressed-ribbed-top-black-acid-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/81cbd9bb-c158-41_223994.jpg,£5,Tops,PixieGirl Black Acid Wash Racer Neck Vest Top,Black,,,(55% OFF),£10.99,
Pixie Girl,https://www.pixiegirl.com/distressed-rib-top-black-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/76a55738-668f-46_224011_A1.jpg,£9.99,Tops,PixieGirl Black Distressed Racer Neck Vest Top,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-twill-waistcoat-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a68c4206-d843-4f_223887_A.jpg,£19.99,Tops,PixieGirl Black Twill Waistcoat,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/black-belted-utility-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/7476993c-8ddf-4a_224120_A.jpg,£29.99,Skirts,PixieGirl Black Belted Utility Maxi Skirt,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/2-pack-black-acid-wht-plain-v-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/d6bbc24d-6890-4a_224014_MS.jpg,£19.99,Tops,PixieGirl 2 PACK Black Acid Wash & White Plain Racer Neck Vest Tops,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/c698f091-6d99-4f_224012_XS.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/black-denim-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/6c47cf03-6fbb-4b_223812_A.jpg,£32.99,Skirts,PixieGirl Black Denim Split Maxi Skirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/ecb7af23-8cb5-45_223731_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/16e32927-5dd7-40_224317_X.jpg,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-blue-black-ditsy-floral-print-tiered-midi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/9ba5455c-2ea5-44_224382_A.jpg,£29.99,Dresses,PixieGirl Blue & Black Ditsy Floral Print Tiered Midi Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-heart-print-hareem-trousers-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/cd5d8414-c30d-4c_224377_A.jpg,£10,Trousers,PixieGirl Black Heart Print Harem Trousers,Black,,,(57% OFF),£22.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-heart-print-tiered-midi-dress-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/ed60bd61-932f-43_224233_A.jpg,£29.99,Dresses,PixieGirl Black Heart Print Tiered Midi Dress,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-ribbed-boxy-t-shirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Small/81632b97-3d30-41_224662_X.jpg,£14.99,Tops,PixieGirl Black Ribbed Boxy T-Shirt,Black,https://cdn.pixiegirl.com/Images/ProductImages/Small/dcb349b1-862a-41_224663_X.jpg,,,,
Pixie Girl,https://www.pixiegirl.com/blk-contrast-waist-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3292a5c4-be9b-4e_224365_A.jpg,£24.99,Skirts,PixieGirl Black Contrast Waist Maxi Skirt,Black,,,,,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-linen-blend-bomber-jacket-p,https://cdn.pixiegirl.com/Images/ProductImages/Small/036bc9e8-9cb8-4e_224044_X.jpg,£10,Coats & Jackets,PixieGirl Black Linen Bomber Jacket,Black,,,(67% OFF),£29.99,
Pixie Girl,https://www.pixiegirl.com/pixiegirl-black-linen-blend-tie-waist-shorts-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/510d3a8e-4bca-46_224081_A.jpg,£14.99,Shorts,PixieGirl Black Linen Tie Waist Shorts,Black,,,,,
