Position,Category,Brand,Colour,Product Name,Main Image,Product Link,Discount,Original Price,Current Price
24,Cardigan,Papaya,Cream,Papaya Petite Cream Stitch Knit Cardigan,https://ml.thcdn.com/productimg/960/960/15264209-5815188768337211.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-stitch-knit-cardigan/15264209.html,20% Off - Matalan Me Member Exclusive,,£22.00
25,Cardigan,Papaya,Navy,Papaya Petite Navy Stripe Knitted Cardigan,https://ml.thcdn.com/productimg/960/960/15325243-1605185453106793.jpg,https://www.matalan.co.uk/clothing/papaya-petite-navy-stripe-knitted-cardigan/15325243.html,20% Off - Matalan Me Member Exclusive,,£20.00
26,Knitwear,Papaya,Blue,Papaya Petite Blue Fairisle Jumper,https://ml.thcdn.com/productimg/960/960/15336838-1335188765706046.jpg,https://www.matalan.co.uk/clothing/papaya-petite-blue-fairisle-jumper/15336838.html,20% Off - Matalan Me Member Exclusive,,£24.00
27,Jeans,Papaya,Black,Papaya Petite Black Wide Leg Stud Jeans,https://ml.thcdn.com/productimg/960/960/15363991-1965188777373487.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-wide-leg-stud-jeans/15363991.html,,,£25.00
28,Jeans,Papaya,Mid Wash,Papaya Petite Mid Wash April Skinny Jeans,https://ml.thcdn.com/productimg/960/960/15363983-1855188753811283.jpg,https://www.matalan.co.uk/clothing/papaya-petite-mid-wash-april-skinny-jeans/15363983.html,,,£19.00
29,Dresses,Papaya,Cream,Papaya Petite Cream Stripe Knitted Dress,https://ml.thcdn.com/productimg/960/960/15336843-1525184099314604.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-stripe-knitted-dress/15336843.html,20% Off - Matalan Me Member Exclusive,,£26.00
30,Jeans,Papaya,Mid Wash,Papaya Petite Jolie Mid Wash Relaxed Skinny Jeans,https://ml.thcdn.com/productimg/960/960/14488817-1165182119513054.jpg,https://www.matalan.co.uk/clothing/papaya-petite-jolie-mid-wash-relaxed-skinny-jeans/14488817.html,Red Friday Deal,£21.00,£10.50
31,Jeans,Papaya,Black,Papaya Petite Jessie Black High Waisted Skinny Jeans,https://ml.thcdn.com/productimg/960/960/14488809-1985037172908477.jpg,https://www.matalan.co.uk/clothing/papaya-petite-jessie-black-high-waisted-skinny-jeans/14488809.html,,,£17.00
32,Dresses,Papaya,Floral,Papaya Petite Multicolour Floral Lace Trim Midi Dress,https://ml.thcdn.com/productimg/960/960/15268269-8505172944036883.jpg,https://www.matalan.co.uk/clothing/papaya-petite-multicolour-floral-lace-trim-midi-dress/15268269.html,Red Friday Deal,£26.00,£13.00
33,Leggings & Jeggings,Papaya,Black,Papaya Petite Black Full Length Cotton Leggings,https://ml.thcdn.com/productimg/960/960/14374502-1005037950206416.jpg,https://www.matalan.co.uk/clothing/papaya-petite-black-full-length-cotton-leggings/14374502.html,,,£6.50
34,Knitwear,Papaya,Burgundy,Papaya Petite Burgundy Scatter Sequin Jumper,https://ml.thcdn.com/productimg/960/960/15336263-2115192174252274.jpg,https://www.matalan.co.uk/clothing/papaya-petite-burgundy-scatter-sequin-jumper/15336263.html,20% Off - Matalan Me Member Exclusive,,£24.00
35,Skirts,Papaya,Cream,Papaya Petite Camel Midi Satin Skirt,https://ml.thcdn.com/productimg/960/960/15324826-1295172951308337.jpg,https://www.matalan.co.uk/clothing/papaya-petite-camel-midi-satin-skirt/15324826.html,Red Friday Deal,£17.00,£8.50
36,Tops,Papaya,Gray,Papaya Petite Charcoal Front Wrap Top,https://ml.thcdn.com/productimg/960/960/15279719-8275183858890458.jpg,https://www.matalan.co.uk/clothing/papaya-petite-charcoal-front-wrap-top/15279719.html,,,£12.50
37,Knitwear,Papaya,Cream,Papaya Petite Cream Tinsel Jumper,https://ml.thcdn.com/productimg/960/960/15350945-1235188826266884.jpg,https://www.matalan.co.uk/clothing/papaya-petite-cream-tinsel-jumper/15350945.html,20% Off - Matalan Me Member Exclusive,,£24.00
