Brand,Category,Colour,Product Link,Main Image,Product Name,Original Price,Current Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4,Swatch Image 5,Swatch Image 6,,,,,,,,,,,,,
White Stuff,Dresses,Black,https://www.whitestuff.com/p/5110/robyn-embroidered-dress/BLK_MLT,https://cdn.media.amplience.net/s/whitestuff/442230-BLK_MLT-SET/1?fmt=auto&qlt=default&w=992,ROBYN EMBROIDERED DRESS,£120.00,£90.00,https://cdn.media.amplience.net/s/whitestuff/442230-BLK_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,robyn embroidered dresshttps://cdn.media.amplience.net/s/whitestuff/442230-blk_mlt-set/1?$swatch$&fmt=auto&default=20&w=68,,,robyn embroidered dress
White Stuff,Dresses,Khaki,https://www.whitestuff.com/p/4891/harley-velvet-dress/KHAKI_GRN,https://cdn.media.amplience.net/s/whitestuff/442038-KHAKI_GRN-SET/1?fmt=auto&qlt=default&w=992,HARLEY VELVET DRESS,£99.00,£74.25,https://cdn.media.amplience.net/s/whitestuff/442038-KHAKI_GRN-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,harley velvet dresshttps://cdn.media.amplience.net/s/whitestuff/442038-khaki_grn-set/1?$swatch$&fmt=auto&default=20&w=68,,,harley velvet dress
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4326/rua-midi-jersey-shirt-dress/NAVY_PR,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_PR-SET/1?fmt=auto&qlt=default&w=992,RUA MIDI JERSEY SHIRT DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_MULTI-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-GREEN_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-GREEN_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-BLK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-PLUM_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,rua midi jersey shirt dresshttps://cdn.media.amplience.net/s/whitestuff/441680-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-navy_multi-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-plum_mlt-set/1?$swatch$&fmt=auto&default=20&w=68,,,rua midi jersey shirt dresshttps://cdn.media.amplience.net/s/whitestuff/441680-green_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-plum_mlt-set/1?$swatch$&fmt=auto&default=20&w=68
White Stuff,Dresses,Green,https://www.whitestuff.com/p/4831/cleo-velvet-mix-dress/GREEN_PR,https://cdn.media.amplience.net/s/whitestuff/442975-GREEN_PR-SET/1?fmt=auto&qlt=default&w=992,CLEO VELVET MIX DRESS,£89.00,£66.75,https://cdn.media.amplience.net/s/whitestuff/442975-GREEN_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,cleo velvet mix dresshttps://cdn.media.amplience.net/s/whitestuff/442975-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,cleo velvet mix dress
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4768/ash-velvet-mix-dress/TEAL_PR,https://cdn.media.amplience.net/s/whitestuff/442037-TEAL_PR-SET/1?fmt=auto&qlt=default&w=992,ASH VELVET MIX DRESS,£89.00,£66.75,https://cdn.media.amplience.net/s/whitestuff/442037-TEAL_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/442037-DK_TEAL-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,ash velvet mix dresshttps://cdn.media.amplience.net/s/whitestuff/442037-teal_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/442037-dk_teal-set/1?$swatch$&fmt=auto&default=20&w=68,,,ash velvet mix dress
White Stuff,Dresses,Green,https://www.whitestuff.com/p/4326/rua-midi-jersey-shirt-dress/PINK_PR,https://cdn.media.amplience.net/s/whitestuff/441680-PINK_PR-SET/1?fmt=auto&qlt=default&w=992,RUA MIDI JERSEY SHIRT DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/441680-PINK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_MULTI-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-GREEN_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-GREEN_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-BLK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,rua midi jersey shirt dresshttps://cdn.media.amplience.net/s/whitestuff/441680-pink_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-navy_multi-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,rua midi jersey shirt dresshttps://cdn.media.amplience.net/s/whitestuff/441680-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68
White Stuff,Dresses,Blue,https://www.whitestuff.com/p/4281/megan-jersey-dress/TEAL_PR,https://cdn.media.amplience.net/s/whitestuff/441683-TEAL_PR-SET/1?fmt=auto&qlt=default&w=992,MEGAN JERSEY DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/441683-TEAL_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-PLUM_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441683-BLK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,megan jersey dresshttps://cdn.media.amplience.net/s/whitestuff/441683-teal_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441683-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441683-plum_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441683-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,megan jersey dresshttps://cdn.media.amplience.net/s/whitestuff/441683-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68
White Stuff,Dresses,Green,https://www.whitestuff.com/p/4326/rua-midi-jersey-shirt-dress/CHART_PR,https://cdn.media.amplience.net/s/whitestuff/441680-CHART_PR-SET/1?fmt=auto&qlt=default&w=992,RUA MIDI JERSEY SHIRT DRESS,£65.00,£48.75,https://cdn.media.amplience.net/s/whitestuff/441680-CHART_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_MULTI-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-NAVY_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-GREEN_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-GREEN_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441680-BLK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,rua midi jersey shirt dresshttps://cdn.media.amplience.net/s/whitestuff/441680-chart_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-navy_multi-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-navy_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,rua midi jersey shirt dresshttps://cdn.media.amplience.net/s/whitestuff/441680-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-green_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441680-blk_pr-set/1?$swatch$&fmt=auto&default=20&w=68
White Stuff,Dresses,Black,https://www.whitestuff.com/p/4979/edie-metallic-spot-maxi-dress/BLK_MLT,https://cdn.media.amplience.net/s/whitestuff/441716-BLK_MLT-SET/1?fmt=auto&qlt=default&w=992,EDIE METALLIC SPOT MAXI DRESS,£120.00,£90.00,https://cdn.media.amplience.net/s/whitestuff/441716-BLK_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,,,,edie metallic spot maxi dresshttps://cdn.media.amplience.net/s/whitestuff/441716-blk_mlt-set/1?$swatch$&fmt=auto&default=20&w=68,,,edie metallic spot maxi dress
White Stuff,Dresses,Green,https://www.whitestuff.com/p/4488/tallie-jersey-dress/PINK_PR,https://cdn.media.amplience.net/s/whitestuff/441842-PINK_PR-SET/1?fmt=auto&qlt=default&w=992,TALLIE JERSEY DRESS,£49.00,£36.75,https://cdn.media.amplience.net/s/whitestuff/441842-PINK_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441842-TEAL_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441842-BLK_MLT-SET/1?$swatch$&fmt=auto&default=20&w=68,https://cdn.media.amplience.net/s/whitestuff/441842-GREEN_PR-SET/1?$swatch$&fmt=auto&default=20&w=68,,,,,,,,,,,,tallie jersey dresshttps://cdn.media.amplience.net/s/whitestuff/441842-pink_pr-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441842-teal_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441842-blk_mlt-set/1?$swatch$&fmt=auto&default=20&w=68https://cdn.media.amplience.net/s/whitestuff/441842-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68,,,tallie jersey dresshttps://cdn.media.amplience.net/s/whitestuff/441842-green_pr-set/1?$swatch$&fmt=auto&default=20&w=68
