Brand,Category,Colour,Product Link,Main Image,Product Name,Colour,Current Price,Original Price
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/ultimate-soft-touch-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_33_6796_710x.jpg?v=1712588142,ULTIMATE SOFT-TOUCH HIGH WAISTED LEGGINGS,Black,£30,£40
Lovall,Nightwear & Loungewear,Gray,https://lovall.com/products/all-szn-organic-wide-leg-jogger-light-grey-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_20_9462_710x.jpg?v=1727260040,ALL SZN ORGANIC WIDE LEG JOGGER,Light Grey Marl,£45,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/ultimate-jeggings-mid-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/045_NEW_JEGGING_MIDBLUE_012_03da2f83-6fc6-4efe-9864-6dac4920df4f_710x.jpg?v=1683898593,ULTIMATE JEGGINGS,Mid Blue,£36,
Lovall,Jeans,Black,https://lovall.com/products/coated-jeans-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/COATED_JEAN_BLACK_GRACE_5842_710x.jpg?v=1710240422,COATED JEANS,Black,£31.50,£35
Lovall,Leggings & Jeggings,Brown,https://lovall.com/products/winter-everyday-high-waisted-leggings-black-coffee,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_27_10286_710x.jpg?v=1727184803,WINTER EVERYDAY HIGH WAISTED LEGGINGS,Black Coffee,£32,
Lovall,Nightwear & Loungewear,Gray,https://lovall.com/products/all-szn-organic-wide-leg-jogger-shadow,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_18_46037_710x.jpg?v=1727261181,ALL SZN ORGANIC WIDE LEG JOGGER,Shadow,£45,
Lovall,Nightwear & Loungewear,Burgundy,https://lovall.com/products/pure-cotton-pyjama-set-burgundy-check,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/BURGUNDYCHECK_710x.jpg?v=1697787653,PURE COTTON PYJAMA SET,Burgundy Check,£18,£36
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/empower-flare-leggings-deep-forest,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EMPOWER_FOREST_MARG_FLARE_1766_710x.jpg?v=1701333550,EMPOWER FLARE LEGGINGS,Deep Forest,£40.50,£45
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/everyday-high-waisted-leggings-dark-grey-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_DARK_GREY_241022_57964_710x.jpg?v=1730736718,EVERYDAY HIGH WAISTED LEGGINGS,Dark Grey Marl,£28,
Lovall,Leggings & Jeggings,Gray,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-dark-grey-marl,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_8_2877_710x.jpg?v=1712584448,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,Dark Grey Marl,£28,
Lovall,Leggings & Jeggings,Cream,https://lovall.com/products/everyday-high-waisted-leggings-oatmeal-beige,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_OATMEAL_241022_57644_710x.jpg?v=1730807374,EVERYDAY HIGH WAISTED LEGGINGS,Oatmeal Beige,£28,
Lovall,Leggings & Jeggings,White,https://lovall.com/products/everyday-high-waisted-leggings-white,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_WHITE_241022_38945_710x.jpg?v=1730808644,EVERYDAY HIGH WAISTED LEGGINGS,White,£28,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/everyday-high-waisted-leggings-petrol-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_PETROL_BLUE_241022_38322_710x.jpg?v=1730807877,EVERYDAY HIGH WAISTED LEGGINGS,Petrol Blue,£28,
Lovall,Leggings & Jeggings,"Khaki, Green",https://lovall.com/products/everyday-high-waisted-leggings-forest-green,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_FOREST_241022_37721_710x.jpg?v=1730737097,EVERYDAY HIGH WAISTED LEGGINGS,Forest Green,£28,
Lovall,Leggings & Jeggings,Blue,https://lovall.com/products/lightweight-everyday-high-waisted-leggings-navy,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/LOOK_5_030345_710x.jpg?v=1712583669,LIGHTWEIGHT EVERYDAY HIGH WAISTED LEGGINGS,Navy,£28,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/treggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_BLACK_TREGGING_241022_40263_710x.jpg?v=1730735588,TREGGINGS,Black,£22.50,£25
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/ultimate-jeggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/048_NEW_JEGGING_BLACK_004_710x.jpg?v=1683892642,ULTIMATE JEGGINGS,Black,£36,
Lovall,Leggings & Jeggings,"Black, Multicolour",https://lovall.com/products/revitalise-high-waisted-leggings-black-tie-dye,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_2_0327_710x.jpg?v=1699379015,REVITALISE HIGH WAISTED LEGGINGS,Black Tie Dye,£33.75,£45
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/247-revitalise-flare-leggings-midnight-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_22_3125_051200e0-32b2-4c34-9918-5e20acc573cc_710x.jpg?v=1718698291,24/7 REVITALISE FLARE LEGGINGS,Midnight Black,£48,
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/247-revitalise-high-waisted-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/Look_27_3687_aa06ab4d-9840-4979-ada0-fb2d50729089_710x.jpg?v=1724337240,24/7 REVITALISE HIGH WAISTED LEGGINGS,Midnight Black,£45,
Lovall,Jeans,Blue,https://lovall.com/products/slim-fit-mom-jeans-dark-blue,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/MUM_JEAN_DARK_BLUE_241022_40780_710x.jpg?v=1730812187,SLIM FIT MOM JEANS,Dark Blue,£33.75,£45
Lovall,Leggings & Jeggings,Black,https://lovall.com/products/leather-look-high-waisted-leggings-black,https://cdn.shopify.com/s/files/1/0014/0306/0312/files/EVERYDAY_LEATHER_LEGGING_241022_40617_710x.jpg?v=1730799946,LEATHER LOOK HIGH WAISTED LEGGINGS,Black,£30.60,£34
