Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3,Swatch Image 4
Pixie Girl,Tops,Green,https://www.warehousefashion.com/product/Pixie Girl-petite-printed-ruched-top_p-49d8c7e3-cb50-484f-b316-59cd673e4a75?colour=Green,https://mediahub.debenhams.com/m5063110454397_green_xl.jpeg?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Printed Ruched Top,£12.75,£24.99,,,,
Coast,Dresses,Green,https://www.warehousefashion.com/product/coast-petite-tiered-hem-ruffle-maxi-dress_bcc00286?colour=forest,https://mediahub.debenhams.com/bcc00286_forest_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Tiered Hem Ruffle Maxi Dress,£30.00,£139.00,https://mediahub.debenhams.com/bcc00286_forest_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bcc00286_berry_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bcc00286_blush_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,
Coast,Dresses,Green,https://www.warehousefashion.com/product/coast-petite-plunge-neck-twill-midi-dress-with-lace-trims_bcc06332?colour=teal,https://mediahub.debenhams.com/bcc06332_teal_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Plunge Neck Twill Midi Dress With Lace Trims,£30.00,£159.00,,,,
Coast,Dresses,Green,https://www.warehousefashion.com/product/coast-petite-plunge-neck-midi-dress-in-printed-twill_bcc06242?colour=green,https://mediahub.debenhams.com/bcc06242_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Plunge Neck Midi Dress In Printed Twill,£30.00,£119.00,,,,
Coast,Leggings & Jeggings,Green,https://www.warehousefashion.com/product/coast-petite-twill-bardot-fit-flare-midi-dress_bcc07144?colour=green,https://mediahub.debenhams.com/bcc07144_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Twill Bardot Fit & Flare Midi Dress,£29.00,£139.00,,,,
Dorothy Perkins,Dresses,Green,https://www.warehousefashion.com/product/dorothy-perkins-petite-green-floral-tiered-pocket-midi-dress_bqq10869?colour=green,https://mediahub.debenhams.com/bqq10869_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Green Floral Tiered Pocket Midi Dress,£29.25,£39.00,,,,
Dorothy Perkins,Blazers,Green,https://www.warehousefashion.com/product/dorothy-perkins-petite-straight-fit-blazer_bqq09114?colour=sage,https://mediahub.debenhams.com/bqq09114_sage_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Straight Fit Blazer,£23.60,£59.00,,,,
Coast,Leggings & Jeggings,Green,https://www.warehousefashion.com/product/coast-petite-one-shoulder-fit-flare-midi-dress-in-twill_bcc07634?colour=green,https://mediahub.debenhams.com/bcc07634_green_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite One Shoulder Fit & Flare Midi Dress In Twill,£25.00,£129.00,,,,
Dorothy Perkins,Trousers,Green,https://www.warehousefashion.com/product/dorothy-perkins-petite-plain-ankle-grazer_bqq07213?colour=forest,https://mediahub.debenhams.com/bqq07213_forest_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Plain Ankle Grazer,£27.55,£29.00,https://mediahub.debenhams.com/bqq07213_forest_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq07213_red_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,https://mediahub.debenhams.com/bqq07213_burgundy_xl_s?qlt=80&w=40&h=40&dpr=1&fit=cvr,
Oasis,Dresses,Green,https://www.warehousefashion.com/product/oasis-petite-ottoman-waistband-knitted-mini-dress_baa07936?colour=forest,https://mediahub.debenhams.com/baa07936_forest_xl?qlt=80&w=320&h=480&dpr=1&fit=ctn,Petite Ottoman Waistband Knitted Mini Dress,£35.00,£69.00,,,,
