Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount,Swatch Image 1,Swatch Image 2,Swatch Image 3
39,Skirts,,Yellow,PixieGirl Yellow Ditsy Floral Print Midi Skirt,https://www.pixiegirl.com/yellow-ditsy-belted-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/bcc70517-9e88-40_225289_A.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/b771cc1e-df84-40_225290_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/c5f8ec22-306e-4a_225289_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/c5f8ec22-306e-4a_225289_X.jpg
40,Skirts,,Blue,PixieGirl Blue Ditsy Floral Print Midi Skirt,https://www.pixiegirl.com/blue-ditsy-belted-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/3d7f99c0-2bc5-43_225290_A.jpg,£22.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/c5f8ec22-306e-4a_225289_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/b771cc1e-df84-40_225290_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/b771cc1e-df84-40_225290_X.jpg
41,Skirts,,Black,PixieGirl Black Crochet Midi Skirt,https://www.pixiegirl.com/blk-crochet-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/69e68181-17f2-40_la.petite.shay_1720809270_3410717823670979065_4558296671.jpg,£29.99,,,,,
42,Skirts,,Green,PixieGirl Green Striped Linen Button Front Midi Skirt,https://www.pixiegirl.com/grn-stripe-button-midi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/c3d0b8c8-b941-4a_224857_A.jpg,£22.99,,,,,
43,Skirts,,Black,PixieGirl Black Ribbed Maxi Tube Skirt,https://www.pixiegirl.com/blk-rib-mini-tube-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/e679ca3d-3d6a-4a_225313_A.jpg,£14.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/e01409a5-aecd-47_225314_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/881e8664-2123-44_225313_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/881e8664-2123-44_225313_X.jpg
44,Skirts,,Brown,PixieGirl Chocolate Brown Ribbed Maxi Tube Skirt,https://www.pixiegirl.com/chocolate-rib-maxi-tube-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/c886e230-fda7-4c_225314_A.jpg,£14.99,,,https://cdn.pixiegirl.com/Images/ProductImages/Medium/881e8664-2123-44_225313_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/e01409a5-aecd-47_225314_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Medium/e01409a5-aecd-47_225314_X.jpg
45,Skirts,,White,PixieGirl White Denim Split Midaxi Skirt,https://www.pixiegirl.com/pixiegirl-white-denim-split-midaxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/2e4addb4-eeda-49_224373_A.jpg,£29.99,,,,,
46,Skirts,,Blue,PixieGirl Navy Blue Paisley Print Tiered Maxi Skirt,https://www.pixiegirl.com/navy-paisley-tiered-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/13006228-f0f6-4a_225295_A.jpg,£26.99,,,,,
47,Skirts,,Brown,PixieGirl Natural Brown Leopard Print Maxi Skirt,https://www.pixiegirl.com/pixiegirl-natural-brown-leopard-print-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/0ef68ebf-0ca2-48_224785%20__12.jpg,£28,,,,,
48,Skirts,,Black,PixieGirl Black Cargo Maxi Skirt,https://www.pixiegirl.com/pixiegirl-black-cargo-maxi-skirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/b479d008-878f-48_225304_A.jpg,£29.99,,,,,
