Position,Category,Brand,Colour,Product Name,Product Link,Main Image,Current Price,Original Price,Discount
14,Dresses,Phase Eight,Black,Petite Julia Black Velvet Wrap Dress,https://www.phase-eight.com/product/petite-julia-black-velvet-wrap-dress-222484050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222484050&pos=13,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222484050/222484050-01-petite-julia-black-velvet-wrap-dress?_i=AG",£111.20,£139,20% Off Applied
15,Coats & Jackets,Phase Eight,Green,Petite Hollie Puffer,https://www.phase-eight.com/product/petite-hollie-puffer-950842450.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=950842450&pos=14,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/950842450/950842450-01-petite-hollie-puffer?_i=AG",£156,£195,20% Off Applied
16,Jeans,Phase Eight,Black,Petite Olivia Bootcut Jean,https://www.phase-eight.com/product/petite-olivia-bootcut-jean-101684050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=101684050&pos=15,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/101684050/101684050-01-petite-olivia-bootcut-jean?_i=AG",£71.20,£89,20% Off Applied
17,Dresses,Phase Eight,Pink,Petite Ella Pink Swing Dress,https://www.phase-eight.com/product/petite-ella-pink-swing-dress-222554300.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222554300&pos=16,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222554300/222554300-01-petite-ella-pink-swing-dress?_i=AG",£88,£110,20% Off Applied
18,Trousers,Phase Eight,Black,Petite Amina Skinny Trouser,https://www.phase-eight.com/product/petite-amina-skinny-trouser-101679050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=101679050&pos=17,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/101679050/101679050-01-petite-amina-skinny-trouser?_i=AG",£55.20,£69,20% Off Applied
19,Coats & Jackets,Phase Eight,Black,Petite Dixie Long Fur Hood Puffer,https://www.phase-eight.com/product/petite-dixie-long-fur-hood-puffer-950860050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=950860050&pos=18,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/950860050/950860050-01-petite-dixie-long-fur-hood-puffer?_i=AG",£183.20,£229,20% Off Applied
20,Coats & Jackets,Phase Eight,Black,Petite Cassie Check Wool Wrap Coat,https://www.phase-eight.com/product/petite-cassie-check-wool-wrap-coat-950849230.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=950849230&pos=19,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/950849230/950849230-01-petite-cassie-check-wool-wrap-coat?_i=AG",£207.20,£259,20% Off Applied
21,Jumpsuits & Playsuits,Phase Eight,Black,Petite Amelia Sequin Bodice Jumpsuit,https://www.phase-eight.com/product/petite-amelia-sequin-bodice-jumpsuit-222502492.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222502492&pos=20,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222502492/222502492-01-petite-amelia-sequin-bodice-jumpsuit?_i=AG",£151.20,£189,20% Off Applied
22,Dresses,Phase Eight,Black,Petite Tila Black Satin Shirt Dress,https://www.phase-eight.com/product/petite-tila-black-satin-shirt-dress-222418050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222418050&pos=21,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222418050/222418050-01-petite-tila-black-satin-shirt-dress?_i=AG",£103.20,£129,20% Off Applied
23,Trousers,Phase Eight,Blue,Petite Amina Skinny Trouser,https://www.phase-eight.com/product/petite-amina-skinny-trouser-101679353.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=101679353&pos=22,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/101679353/101679353-01-petite-amina-skinny-trouser?_i=AG",£55.20,£69,20% Off Applied
24,Trousers,Phase Eight,Black,Samantha Petite Hotfix Trouser,https://www.phase-eight.com/product/samantha-petite-hotfix-trouser-101693050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=101693050&pos=23,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/101693050/101693050-01-samantha-petite-hotfix-trouser?_i=AG",£95.20,£119,20% Off Applied
25,Jumpsuits & Playsuits,Phase Eight,Blue,Petite Ayla Ruffle Colourblock Jumpsuit,https://www.phase-eight.com/product/petite-ayla-ruffle-colourblock-jumpsuit-222044287.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222044287&pos=24,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222044287/222044287-01-petite-ayla-ruffle-colourblock-jumpsuit?_i=AG",£111.20,£139,20% Off Applied
26,Dresses,Phase Eight,Black,Petite Caitlin Black Printed Mesh Dress,https://www.phase-eight.com/product/petite-caitlin-black-printed-mesh-dress-222574050.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222574050&pos=25,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222574050/222574050-01-petite-caitlin-black-printed-mesh-dress?_i=AG",£95.20,£119,20% Off Applied
27,Dresses,Phase Eight,Black,Petite Riah Shimmer Maxi Dress,https://www.phase-eight.com/product/petite-riah-shimmer-maxi-dress-222551000.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222551000&pos=26,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222551000/222551000-01-petite-riah-shimmer-maxi-dress?_i=AG",£135.20,£169,20% Off Applied
28,Dresses,Phase Eight,Black,Petite Aoife Printed Jersey Dress,https://www.phase-eight.com/product/petite-aoife-printed-jersey-dress-222539880.html#navAjax=true&imageType=model&is=true&sz=60&start=0&cgid=petite&isSecondPage=false&pid=222539880&pos=27,"https://media.phase-eight.com/image/upload/f_auto,q_auto,dpr_auto/w_600/p8-catalog/images/222539880/222539880-01-petite-aoife-printed-jersey-dress?_i=AG",£88,£110,20% Off Applied
