Position,Category,Brand,Colour,Product Name,Original Price,Current Price,Discount,Product Link,Main Image,Swatch Image 1,Swatch Image 2
64,Dresses,Boden,"Bright Pink, Structured Petal",Laura Jersey Midi Shirt Dress,,£90.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/laura-jersey-midi-shirt-dress-bright-pink-structured-petal/sty-d1069-pin?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1069_pin_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1069_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1069_nav_s.jpg
65,Trousers,Boden,Cherry Jam,Kew Cord Trousers,,£85.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/kew-cord-trousers-cherry-jam/sty-r0431-ros?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_r0431_ros_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0431_brn_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_r0431_nvy_s.jpg
66,Dresses,Boden,"Rich Emerald, Mazarine Stripe",Daphne Jersey Maxi Dress,,£98.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/daphne-jersey-maxi-dress-rich-emerald-mazarine-stripe/sty-d1042-grn?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1042_grn_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1042_bbl_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1042_nav_s.jpg
67,Dresses,Boden,French Navy Spots,Martha Godet Maxi Shirt Dress,,£155.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/martha-godet-maxi-shirt-dress-french-navy-spots/sty-d1092-mpt?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1092_mpt_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1092_drd_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1092_pnk_s.jpg
68,Dresses,Boden,"Blue, Paisley Bud",Hotched Ponte Dress,,£130.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/hotched-ponte-dress-blue-paisley-bud/sty-d1090-blu?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1090_blu_w01_v1.jpg,https://www.bodenimages.com/productimages/r1asw/24wxms_d1090_blu_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wxms_d1090_blu_s.jpg
69,Dresses,Boden,"Multi, Structured Petal",Jasmine Satin Midi Dress,,£145.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/jasmine-satin-midi-dress-multi-structured-petal/sty-d1021-mul?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1021_mul_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1021_blu_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1021_mul_s.jpg
70,Dresses,Boden,"Ameythyst, Paisley Fusion",Zoe Trim Detail Midi Dress,,£125.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/zoe-trim-detail-midi-dress-ameythyst-paisley-fusion/sty-d1098-pur?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24wwin_d1098_pur_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1098_bgr_s.jpg,https://www.bodenimages.com/productimages/r1asw/24wwin_d1098_pur_s.jpg
71,Dresses,Boden,"Rich Emerald, Terrace Swirl",Laura Jersey Midi Shirt Dress,,£90.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/laura-jersey-midi-shirt-dress-rich-emerald-terrace-swirl/sty-d1069-sgr?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1069_sgr_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1069_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1069_nav_s.jpg
72,Dresses,Boden,"Fruit Dove, Fall Spring",Alba Viscose Maxi Dress,,£145.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/alba-viscose-maxi-dress-fruit-dove-fall-spring/sty-d1029-nvy?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1029_nvy_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1029_blu_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1029_nvy_s.jpg
73,Dresses,Boden,"Navy, Abstract Dot",Florrie Long Sleeve Dress,,£70.00,30% OFF WITH CODE T3B6,https://www.boden.co.uk/en-gb/florrie-long-sleeve-dress-navy-abstract-dot/sty-d1025-nar?cat=C1_S2_SH0052,https://www.bodenimages.com/productimages/r1aproductlarge/24waut_d1025_nar_m01.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1025_blk_s.jpg,https://www.bodenimages.com/productimages/r1asw/24waut_d1025_nar_s.jpg
