Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price
Forever New,Coats & Jackets,Neutral,https://www.forevernew.co.uk/monica-petite-fur-collar-wrap-coat-289835?colour=cream,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28983501_F1.jpg?auto=webp&width=520,Monica Petite Faux-Fur Collar Wrap Coat,£150.00,
Forever New,Dresses,Neutral,https://www.forevernew.co.uk/leena-snaffle-belted-midi-dress-290161?colour=cream,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29016101_F.jpg?auto=webp&width=520,Leena Petite Belted Midi Dress,£95.00,
Forever New,Coats & Jackets,Neutral,https://www.forevernew.co.uk/bonnie-petite-longline-coatigan-289578?colour=oatmeal-marle,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28957812_F1.jpg?auto=webp&width=520,Bonnie Petite Longline Coatigan,£95.00,
Forever New,Coats & Jackets,Neutral,https://www.forevernew.co.uk/287213-287213?colour=soft-oatmeal-marle,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28721302_F.jpg?auto=webp&width=520,Eloise Petite Shacket,£80.00,
Forever New,Trousers,Neutral,https://www.forevernew.co.uk/tessa-petite-straight-leg-pant-282152?colour=taupe-suit,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28215204_F2.jpg?auto=webp&width=520,Tessa Petite Straight-Leg Pants,£60.00,
Forever New,Dresses,Green,https://www.forevernew.co.uk/sammy-petite-velvet-bodycon-291204?colour=dark-green,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29120402_S.jpg?auto=webp&width=520,Sammy Petite Velvet Bodycon Dress,£110.00,
Forever New,Jumpsuits & Playsuits,Green,https://www.forevernew.co.uk/celeste-petite-ruffle-jumpsuit-292038?colour=green,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29203802_F_1.jpg?auto=webp&width=520,Celeste Petite Ruffle Jumpsuit,£120.00,
Forever New,Dresses,Green,https://www.forevernew.co.uk/chelsea-petite-flutter-maxi-291758?colour=forest-moss,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29175801_F_2.jpg?auto=webp&width=520,Chelsea Petite Flutter Maxi,£90.00,
Forever New,Dresses,Green,https://www.forevernew.co.uk/gabriella-petite-textured-midi-dress-292029?colour=emerald-green,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29202902_F.jpg?auto=webp&width=520,Gabriella Petite Textured Midi Dress,£110.00,
Forever New,Coats & Jackets,Green,https://www.forevernew.co.uk/ellie-petite-crop-trench-289917?colour=green-fern,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28991703_F6.jpg?auto=webp&width=520,Ellie Petite Crop Trench Coat,£80.00,
Forever New,Dresses,Burgundy,https://www.forevernew.co.uk/harmony-petite-midi-dress-288385?colour=berry-ombre,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28838502_F.jpg?auto=webp&width=520,Harmony Petite Midi Dress,£125.00,
Forever New,Blazers,Burgundy,https://www.forevernew.co.uk/billie-petite-wrap-blazer-dress-292033?colour=imperial-port,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29203302_F.jpg?auto=webp&width=520,Billie Petite Wrap Blazer Dress,£90.00,
Forever New,Dresses,Red,https://www.forevernew.co.uk/lucy-petite-satin-cowl-maxi-288469?colour=strawberry-red,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28846903_F1.jpg?auto=webp&width=520,Lucy Petite Satin Cowl Maxi Dress,£120.00,
Forever New,Dresses,Brown,https://www.forevernew.co.uk/amila-petite-belted-godet-mini-289659?colour=burnt-red,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28965901_F.jpg?auto=webp&width=520,Amila Petite Belted Godet Mini Dress,£90.00,
Forever New,Skirts,Brown,https://www.forevernew.co.uk/prue-petite-satin-bias-midaxi-skirt-287754?colour=burnt-red,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28775404_S.jpg?auto=webp&width=520,Prue Petite Satin Midaxi Skirt,£50.00,
Forever New,Dresses,Brown,https://www.forevernew.co.uk/arizona-petite-pleated-long-sleeve-midi-289658?colour=burnt-red,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28965803_F.jpg?auto=webp&width=520,Cassidy Petite Shirred Neck Midi Dress,£100.00,
Forever New,Dresses,Pink,https://www.forevernew.co.uk/anastasia-petite-printed-skater-mini-290061?colour=berry-oxley-floral,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29006104_F.jpg?auto=webp&width=520,Anastasia Petite Printed Mini Dress,£82.50,£110.00
Forever New,Dresses,Pink,https://www.forevernew.co.uk/adele-petite-printed-midi-dress-290056?colour=berry-oxley-floral,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29005603_F.jpg?auto=webp&width=520,Adele Petite Printed Midi Dress,£90.00,£120.00
Forever New,Dresses,Brown,https://www.forevernew.co.uk/tammy-petite-asymmetric-hem-midi-291914?colour=dark-sepia-snake,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29191402_F.jpg?auto=webp&width=520,Tammy Petite Asymmetrical Hem Midi Dress,£95.00,
Forever New,Dresses,Pink,https://www.forevernew.co.uk/ruby-petite-tie-back-satin-maxi-281378?colour=saturated-rose,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28137307_F_1.jpg?auto=webp&width=520,Ruby Petite Tie-Back Satin Maxi Dress,£110.00,
Forever New,Dresses,Pink,https://www.forevernew.co.uk/paula-petite-one-shoulder-maxi-288065?colour=claret,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28806504_F.jpg?auto=webp&width=520,Paula Petite Pleated One-Shoulder Maxi Dress,£120.00,
Forever New,Trousers,Gray,https://www.forevernew.co.uk/freya-petite-high-waist-wide-leg-pant-288367?colour=grey-marle,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28836702_F.jpg?auto=webp&width=520,Freya Petite High-Waisted Wide-Leg Trousers,£60.00,
Forever New,Coats & Jackets,Gray,https://www.forevernew.co.uk/lola-petite-wrap-coat-290995?colour=mink-marle,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_29099501_F2.jpg?auto=webp&width=520,Lola Petite Wrap Coat,£120.00,
Forever New,Coats & Jackets,Gray,https://www.forevernew.co.uk/shelley-petite-db-coatigan-284310?colour=grey-marle,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28431003_F2.jpg?auto=webp&width=520,Shelley Petite Double-Breasted Coatigan,£95.00,
Forever New,Coats & Jackets,Gray,https://www.forevernew.co.uk/carter-petite-felled-seam-coat-287090?colour=charcoal,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28709007_F1.jpg?auto=webp&width=520,Carter Petite Felled Seam Coat,£120.00,
Forever New,Dresses,Neutral,https://www.forevernew.co.uk/emily-petite-one-shoulder-maxi-288470?colour=beige-pearl,https://www.forevernew.co.uk/media/catalog/product/A/l/AllTerritories_OnBody_28847002_F.jpg?auto=webp&width=520,Emily Petite One-Shoulder Maxi Dress,£120.00,
