Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,Original Price,Swatch Image 1,Swatch Image 2,Swatch Image 3
Jolie Moi,Dresses,Black,https://joliemoi.co.uk/products/petite-short-sleeve-midaxi-dress-black-gold?_pos=1&_sid=ddfe554fc&_ss=r,https://joliemoi.co.uk/cdn/shop/files/PT277102_BlackGold_1_8c074d4d-338c-4957-8d83-3c04ab27b38b.jpg?v=1733401289&width=320,"Petite Short Sleeve Midaxi Dress, Black/Gold",£76.00,,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084767.png?v=1729768188,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084768.png?v=1729768188,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084769.png?v=1729768188
Jolie Moi,Dresses,Burgundy,https://joliemoi.co.uk/products/petite-short-sleeve-midaxi-dress-burgundy?_pos=2&_sid=ddfe554fc&_ss=r,https://joliemoi.co.uk/cdn/shop/files/PT277102_Burgundy_1.jpg?v=1729767569&width=320,"Petite Short Sleeve Midaxi Dress, Burgundy",£76.00,,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084768.png?v=1729768188,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084767.png?v=1729768188,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084769.png?v=1729768188
Jolie Moi,Dresses,Blue,https://joliemoi.co.uk/products/petite-short-sleeve-midaxi-dress-navy-gold?_pos=3&_sid=ddfe554fc&_ss=r,https://joliemoi.co.uk/cdn/shop/files/PT277102_NavyGold_1_57fabd47-fe9c-4a84-a71f-ebbcbb0ab143.jpg?v=1729767808&width=320,"Petite Short Sleeve Midaxi Dress, Navy/Gold",£76.00,,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084769.png?v=1729768188,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084767.png?v=1729768188,https://cdn.shopify.com/s/files/1/0102/0212/0289/files/platmart-swatch-2084768.png?v=1729768188
