Brand,Category,Product Link,Main Image,Product Name,Colour,Current Price,Main Image,Swatch Image 1,Swatch Image 2,Swatch Image 3,Discount,Original Price
Pixie Girl,Jeans,https://www.pixiegirl.com/petite-dark-blue-stitch-denim-skinny-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/a8ed6247-0151-45_222258_A.jpg,PixieGirl Dark Blue Stretch Denim AVA Skinny Jeans,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/a8ed6247-0151-45_222258_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/3660522a-cf8f-4d_222032-222037_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/4a544390-729e-4e_222033_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/1682e3d6-84f1-47_222259_X.jpg,,
Pixie Girl,Trousers,https://www.pixiegirl.com/pixiegirl-blue-stripe-wide-leg-trousers-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/1033c4b7-1760-4e_225396_A.jpg,PixieGirl Blue Stripe Wide Leg Trousers,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/1033c4b7-1760-4e_225396_A.jpg,,,,(50% OFF),£29.99
Pixie Girl,Knitwear,https://www.pixiegirl.com/blue-roll-neck-boxy-jumper-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/65e97001-6760-40_223030_A.jpg,PixieGirl Cobalt Blue Roll Neck Knit Jumper,Blue,£15,https://cdn.pixiegirl.com/Images/ProductImages/Big/65e97001-6760-40_223030_A.jpg,,,,(50% OFF),£29.99
Pixie Girl,Tops,https://www.pixiegirl.com/pixiegirl-navy-blue-crew-neck-sweatshirt-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/92194b99-ad0f-42_225125_A.jpg,PixieGirl Navy Blue Crew Neck Sweatshirt,Blue,£19,https://cdn.pixiegirl.com/Images/ProductImages/Big/92194b99-ad0f-42_225125_A.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/fa56e18b-c048-46_225123_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/d70cffe0-5142-4e_223929_X.jpg,https://cdn.pixiegirl.com/Images/ProductImages/Small/92ac26c7-2ac9-4b_225121_X.jpg,,
Pixie Girl,Tops,https://www.pixiegirl.com/pixiegirl-blue-blur-print-mesh-top-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/72d953e5-888d-43_223549_A.jpg,PixieGirl Blue Blur Print Mesh Top,Blue,£10,https://cdn.pixiegirl.com/Images/ProductImages/Big/72d953e5-888d-43_223549_A.jpg,,,,(57% OFF),£22.99
Pixie Girl,Jeans,https://www.pixiegirl.com/aysemmetric-jean-blue-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/f27f8501-4bec-4a_224318_A.jpg,PixieGirl Blue Asymmetric Waist Wide Leg Jeans,Blue,£35,https://cdn.pixiegirl.com/Images/ProductImages/Big/f27f8501-4bec-4a_224318_A.jpg,,,,,
Pixie Girl,Knitwear,https://www.pixiegirl.com/pixiegirl-navy-blue-knitted-stripe-jumper-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/10eaaf6f-2ec1-40_225061_A.jpg,PixieGirl Navy Blue Knitted Stripe Jumper,Blue,£24.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/10eaaf6f-2ec1-40_225061_A.jpg,,,,,
Pixie Girl,Jeans,https://www.pixiegirl.com/pixiegirl-dark-blue-contrast-stitch-wide-leg-jeans-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/eaafd071-cde4-48_225111_21.jpg,PixieGirl Dark Blue Contrast Stitch Wide Leg Jeans,Blue,£35,https://cdn.pixiegirl.com/Images/ProductImages/Big/eaafd071-cde4-48_225111_21.jpg,,,,,
Pixie Girl,Knitwear,https://www.pixiegirl.com/pixiegirl-blue-knitted-ombre-jumper-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/09949e65-b185-45_225073_A.jpg,PixieGirl Blue Knitted Ombre Jumper,Blue,£34.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/09949e65-b185-45_225073_A.jpg,,,,,
Pixie Girl,Dresses,https://www.pixiegirl.com/blue-ditsy-ls-empire-midaxi-drs-p,https://cdn.pixiegirl.com/Images/ProductImages/Big/56ba77f5-53e6-41_224033_A.jpg,PixieGirl Navy Blue Ditsy Print Midaxi Dress,Blue,£29.99,https://cdn.pixiegirl.com/Images/ProductImages/Big/56ba77f5-53e6-41_224033_A.jpg,,,,,
