Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/dark-indigo-flare,https://mintvelvet.com/cdn/shop/files/dark-indigo-flare_1_240911054431_840x.jpg?v=1224930,Dark Indigo Flare Jeans,£89.00,,,,,,,,,,dark indigo flare jeans
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/washed-black-tapered-jean,https://mintvelvet.com/cdn/shop/files/washed-black-tapered-jean_1_240903092342_840x.jpg?v=1224930,Washed Black Tapered Barrel Jeans,£99.00,,,,,,,,,,washed black tapered barrel jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/dark-indigo-sculpting-skinny-jean,https://mintvelvet.com/cdn/shop/files/dark-indigo-skinny-jean_1_240815120942_840x.jpg?v=1224930,Dark Indigo Sculpting Skinny Jean,£89.00,,,,,,,,,,dark indigo sculpting skinny jean
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-slim-trousers,https://mintvelvet.com/cdn/shop/files/navy-tapered-trouser_1_24091907431_840x.jpg?v=1224930,Navy Slim Trousers,£99.00,,,,,,,,,,navy slim trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/products-black-velvet-flare,https://mintvelvet.com/cdn/shop/files/black-velvet-flare_1_240918035342_840x.jpg?v=1224930,Black Velvet Flared Trousers,£130.00,,,,,,,,,,black velvet flared trousers
Mint Velvet,Jeans,Brown,https://mintvelvet.com/products/leopard-print-slim-jean,https://mintvelvet.com/cdn/shop/files/011035161_1_840x.jpg?v=1224930,Leopard Print Slim Jeans,£89.00,,,,,,,,,,leopard print slim jeans
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-pinstripe-wide-trouser,https://mintvelvet.com/cdn/shop/files/navy-pinstripe-wide-trouser_1_240726091321_840x.jpg?v=1224930,Navy Pinstripe Wide Trousers,£79.00,,,,,,,,,,navy pinstripe wide trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-slim-fit-trousers,https://mintvelvet.com/cdn/shop/files/black-slim-fit-trousers_1_241112092330_840x.jpg?v=1224930,Black Slim Trousers,£89.00,,,,,,,,,,black slim trousers
Mint Velvet,Leggings & Jeggings,Black,https://mintvelvet.com/products/black-seam-detail-tregging,https://mintvelvet.com/cdn/shop/files/black-seam-detail-tregging_1_241018110110_840x.jpg?v=1224930,Black Seam Detail Skinny Treggings,£79.00,,,,,,,,,,black seam detail skinny treggings
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-kick-flare-trouser,https://mintvelvet.com/cdn/shop/files/black-kick-flare-trouser_1_241008104458_840x.jpg?v=1224930,Black Kick Flare Cropped Trousers,£89.00,,,,,,,,,,black kick flare cropped trousers
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-split-hem-trousers,https://mintvelvet.com/cdn/shop/files/navy-split-hem-trouser_1_24071211064_840x.jpg?v=1224930,Navy Split Hem Trousers,£79.00,,,,,,,,,,navy split hem trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-flare-trousers,https://mintvelvet.com/cdn/shop/files/black-flare-trousers_1_240918014033_840x.jpg?v=1224930,Black Flare Trousers,£129.00,,,,,,,,,,black flare trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/products-black-pleated-tapered-trouser,https://mintvelvet.com/cdn/shop/files/black-pleated-tapered-trouser_1_240828015641_840x.jpg?v=1224930,Black Tailored Tapered Trousers,£135.00,,,,,,,,,,black tailored tapered trousers
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/snake-print-slim-jean,https://mintvelvet.com/cdn/shop/files/snake-print-slim-jean_1_24101402526_840x.jpg?v=1224930,Snake Print Slim Jeans,£89.00,,,,,,,,,,snake print slim jeans
Mint Velvet,Jeans,Blue,https://mintvelvet.com/products/mid-indigo-tie-waist-wide-jean,https://mintvelvet.com/cdn/shop/files/mid-indigo-tie-waist-wide-jean_1_241128115028_840x.jpg?v=1224930,Mid Indigo Tie Wide Jeans,£89.00,,,,,,,,,,mid indigo tie wide jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-tapered-trouser,https://mintvelvet.com/cdn/shop/files/black-tapered-trouser_1_24091907431_840x.jpg?v=1224930,Black Slim Trousers,£99.00,,,,,,,,,,black slim trousers
Mint Velvet,Trousers,Red,https://mintvelvet.com/products/red-side-stripe-trouser,https://mintvelvet.com/cdn/shop/files/red-side-stripe-trouser_1_24071004245_840x.jpg?v=1224930,Red Side Stripe Trousers,£109.00,,,,,,,,,,red side stripe trousers
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/snake-print-cargo-straight-jeans,https://mintvelvet.com/cdn/shop/files/snake-print-cargo-straight-jeans_1_240827084612_840x.jpg?v=1224930,Snake Print Cargo Straight Jeans,£99.00,,,,,,,,,,snake print cargo straight jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-satin-tie-waist-trouser,https://mintvelvet.com/cdn/shop/files/black-satin-tie-waist-trouser_1_241018105844_840x.jpg?v=1224930,Black Satin Wide Trousers,£99.00,,,,,,,,,,black satin wide trousers
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/washed-grey-wide-leg-jean,https://mintvelvet.com/cdn/shop/files/washed-grey-wide-leg-jean_1_241112093633_840x.jpg?v=1224930,Washed Grey Wide Leg Jean,£89.00,,,,,,,,,,washed grey wide leg jean
Mint Velvet,Trousers,Gray,https://mintvelvet.com/products/grey-pleat-wide-trouser,https://mintvelvet.com/cdn/shop/files/grey-pleat-wide-trouser_1_240717103053_840x.jpg?v=1224930,Grey Pleated Wide Trousers,£120.00,,,,,,,,,,grey pleated wide trousers
Mint Velvet,Jeans,Brown,https://mintvelvet.com/products/leopard-print-straight-jean,https://mintvelvet.com/cdn/shop/files/leopard-print-straight-jean_1_240909090530_840x.jpg?v=1224930,Leopard Print Straight Cargo Jeans,£99.00,,,,,,,,,,leopard print straight cargo jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-pu-wide-leg-trouser,https://mintvelvet.com/cdn/shop/files/black-pu-wide-leg-trouser_1_240821095049_840x.jpg?v=1224930,Black Faux Leather Wide Leg Trousers,£110.00,,,,,,,,,,black faux leather wide leg trousers
Mint Velvet,Jeans,Gray,https://mintvelvet.com/products/washed-grey-relaxed-leg-jean,https://mintvelvet.com/cdn/shop/files/washed-grey-relaxed-leg-jean_1_240809105111_840x.jpg?v=1224930,Washed Grey Relaxed Straight Jeans,£89.00,,,,,,,,,,washed grey relaxed straight jeans
Mint Velvet,Trousers,Blue,https://mintvelvet.com/products/navy-side-stripe-trouser,https://mintvelvet.com/cdn/shop/files/navy-side-stripe-trouser_1_240710023953_840x.jpg?v=1224930,Navy Side Stripe Trousers,£109.00,,,,,,,,,,navy side stripe trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-zip-front-trousers,https://mintvelvet.com/cdn/shop/files/black-zip-front-trousers_1_240820074746_840x.jpg?v=1224930,Black Zip Front Trousers,£99.00,,,,,,,,,,black zip front trousers
Mint Velvet,Trousers,Cream,https://mintvelvet.com/products/neutral-check-pleat-trouser,https://mintvelvet.com/cdn/shop/files/neutral-check-pleat-trouser_1_240830125454_840x.jpg?v=1224930,Neutral Check Side Stripe Trousers,£120.00,,,,,,,,,,neutral check side stripe trousers
Mint Velvet,Trousers,Khaki,https://mintvelvet.com/products/khaki-side-stripe-trouser,https://mintvelvet.com/cdn/shop/files/khaki-side-stripe-trouser_1_241210033542_840x.jpg?v=1224930,Khaki Side Stripe Straight Trousers,£110.00,,,,,,,,,,khaki side stripe straight trousers
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/black-waist-detail-trouser,https://mintvelvet.com/cdn/shop/files/black-waist-detail-trouser_1_240801092654_840x.jpg?v=1224930,Black Waist Detail Straight Trousers,£99.00,,,,,,,,,,black waist detail straight trousers
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/black-cropped-wide-jeans,https://mintvelvet.com/cdn/shop/files/black-crop-widejean_1_240816011032_840x.jpg?v=1224930,Black Cropped Wide Jeans,£89.00,,,,,,,,,,black cropped wide jeans
Mint Velvet,Trousers,Burgundy,https://mintvelvet.com/products/products-burgundy-satin-pleat-trouser,https://mintvelvet.com/cdn/shop/files/products-burgundy-satin-pleat-trouser_1_241014095327_840x.jpg?v=1224930,Burgundy Satin Wide Trousers,£140.00,,,,,,,,,,burgundy satin wide trousers
Mint Velvet,Jeans,Black,https://mintvelvet.com/products/coated-black-straight-jean,https://mintvelvet.com/cdn/shop/files/coated-black-straight-jean_1_240911094533_840x.jpg?v=1224930,Black Coated Straight Jeans,£99.00,,,,,,,,,,black coated straight jeans
Mint Velvet,Trousers,Black,https://mintvelvet.com/products/abstract-print-wide-trouser,https://mintvelvet.com/cdn/shop/files/abstract-print-wide-trouser_1_240820074445_840x.jpg?v=1224930,Black Abstract Print Wide Trousers,£99.00,,,,,,,,,,black abstract print wide trousers
